No.;Layer;Output Size;Accuracy;Latency [ms];Energy [mJ];Sensor Latency;Sensor Latency IQR;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Latency IQR;Edge Energy
31;SqueezeExcitation: 5-22;[1, 240, 14, 14];0.77664;37.0095574680123;14.264087773259059;23.926723999999993;0;13.804623373259059;0.765774;0.45946439999999994;12.317059468012303;0.0;0
32;Conv2d: 6-74;[1, 80, 14, 14];0.77662;35.84286056600021;13.981917307853212;23.956123999999992;0;13.828750507853213;0.255278;0.1531668;11.63145856600022;0.0;0
33;BatchNorm2d: 6-75;[1, 80, 14, 14];0.77662;35.68136260200035;13.981917307853212;23.956123999999992;0;13.828750507853213;0.255278;0.1531668;11.469960602000356;0.0;0
34;MBConv: 3-10;[1, 80, 14, 14];0.7765;38.71013106800852;17.860917990903168;27.249083999999996;0;17.707751190903167;0.255278;0.1531668;11.205769068008522;0.0;0
35;MBConv: 3-11;[1, 80, 14, 14];0.77634;40.2435712360035;21.739918673953124;30.542044;0;21.586751873953123;0.255278;0.1531668;9.446249236003496;0.0;0
36;Conv2d: 6-102;[1, 480, 14, 14];0.77616;41.47206611197515;22.55293363016167;30.600844000000002;0;21.634022830161673;1.531518;0.9189108;9.339704111975152;0.0;0
37;BatchNorm2d: 6-103;[1, 480, 14, 14];0.77616;41.2586190740073;22.55293363016167;30.600844000000002;0;21.634022830161673;1.531518;0.9189108;9.126257074007299;0.0;0
38;SiLU: 6-104;[1, 480, 14, 14];0.77616;41.552191493999715;22.55293363016167;30.600844000000002;0;21.634022830161673;1.531518;0.9189108;9.419829493999714;0.0;0
39;Conv2d: 6-105;[1, 480, 14, 14];0.77608;50.295645505993896;33.140633428541584;39.420844;0;32.221722628541585;1.531518;0.9189108;9.343283505993895;0.0;0
40;BatchNorm2d: 6-106;[1, 480, 14, 14];0.77608;49.72201009198398;33.140633428541584;39.420844;0;32.221722628541585;1.531518;0.9189108;8.769648091983981;0.0;0
41;SiLU: 6-107;[1, 480, 14, 14];0.77608;49.46821233797892;33.140633428541584;39.420844;0;32.221722628541585;1.531518;0.9189108;8.515850337978918;0.0;0
42;SqueezeExcitation: 5-34;[1, 480, 14, 14];0.7761;49.42117003999778;33.1422333990576;39.421003999999996;0;32.2233225990576;1.531518;0.9189108;8.468648039997788;0.0;0
43;Conv2d: 6-113;[1, 112, 14, 14];0.7762;48.21825224200065;32.49972805052757;39.503324;0;32.28522685052757;0.357502;0.21450119999999998;8.357426242000656;0.0;0
44;BatchNorm2d: 6-114;[1, 112, 14, 14];0.7762;48.1236840580058;32.49972805052757;39.503324;0;32.28522685052757;0.357502;0.21450119999999998;8.262858058005804;0.0;0
45;MBConv: 3-13;[1, 112, 14, 14];0.776;64.3012378600142;42.89801639849716;57.021356000000004;0;42.68351519849716;0.357502;0.21450119999999998;6.922379860014189;0.0;0
46;MBConv: 3-14;[1, 112, 14, 14];0.77626;80.80455035599518;53.29630474646676;74.539388;0;53.08180354646676;0.357502;0.21450119999999998;5.907660355995176;0.0;0
47;Conv2d: 6-141;[1, 672, 14, 14];0.7762;82.54207134798102;54.45835463740674;74.654636;0;53.171936637406745;2.14403;1.2864179999999998;5.7434053479810245;0.0;0
48;BatchNorm2d: 6-142;[1, 672, 14, 14];0.7762;82.71004559400657;54.45835463740674;74.654636;0;53.171936637406745;2.14403;1.2864179999999998;5.911379594006576;0.0;0
49;SiLU: 6-143;[1, 672, 14, 14];0.7762;82.31704065399876;54.45835463740674;74.654636;0;53.171936637406745;2.14403;1.2864179999999998;5.518374653998762;0.0;0
50;Conv2d: 6-144;[1, 672, 7, 7];0.7762;85.01693670199879;56.47740725651176;78.97643599999999;0;56.15578925651176;0.5360300000000001;0.32161800000000007;5.504470701998798;0.0;0
51;BatchNorm2d: 6-145;[1, 672, 7, 7];0.7762;84.98010532198518;56.47740725651176;78.97643599999999;0;56.15578925651176;0.5360300000000001;0.32161800000000007;5.467639321985189;0.0;0
52;SiLU: 6-146;[1, 672, 7, 7];0.7762;84.8348694239829;56.47740725651176;78.97643599999999;0;56.15578925651176;0.5360300000000001;0.32161800000000007;5.322403423982905;0.0;0
53;SqueezeExcitation: 5-46;[1, 672, 7, 7];0.77634;84.64548144802646;56.48049545227381;78.976772;0;56.158877452273806;0.5360300000000001;0.32161800000000007;5.132679448026465;0.0;0
54;Conv2d: 6-152;[1, 192, 7, 7];0.77632;83.98472737199093;56.28932145963885;79.026164;0;56.197364259638846;0.153262;0.0919572;4.805301371990936;0.0;0
55;BatchNorm2d: 6-153;[1, 192, 7, 7];0.77632;84.06217299400062;56.28932145963885;79.026164;0;56.197364259638846;0.153262;0.0919572;4.882746994000627;0.0;0
56;MBConv: 3-16;[1, 192, 7, 7];0.77636;95.7640402720092;65.1293025579784;91.897172;0;65.03734535797841;0.153262;0.0919572;3.7136062720092013;0.0;0
57;MBConv: 3-17;[1, 192, 7, 7];0.77566;107.50157405401949;73.96928365631797;104.76818;0;73.87732645631797;0.153262;0.0919572;2.5801320540194865;0.0;0
58;MBConv: 3-18;[1, 192, 7, 7];0.77524;119.31869387198012;82.80926475465753;117.639188;0;82.71730755465754;0.153262;0.0919572;1.526243871980114;0.0;0
59;Conv2d: 6-193;[1, 1152, 7, 7];0.77522;119.99371953601607;83.3315768314171;117.72386;0;82.7801732314171;0.919006;0.5514036;1.350853536016075;0.0;0
60;BatchNorm2d: 6-194;[1, 1152, 7, 7];0.77522;120.0785952719942;83.3315768314171;117.72386;0;82.7801732314171;0.919006;0.5514036;1.4357292719942052;0.0;0
61;SiLU: 6-195;[1, 1152, 7, 7];0.77522;119.87861299799064;83.3315768314171;117.72386;0;82.7801732314171;0.919006;0.5514036;1.2357469979906455;0.0;0
62;Conv2d: 6-196;[1, 1152, 7, 7];0.77514;124.33972346200109;86.47743306084365;122.296148;0;85.92602946084365;0.919006;0.5514036;1.1245694620010909;0.0;0
63;BatchNorm2d: 6-197;[1, 1152, 7, 7];0.77514;124.36270919398022;86.47743306084365;122.296148;0;85.92602946084365;0.919006;0.5514036;1.1475551939802244;0.0;0
64;SiLU: 6-198;[1, 1152, 7, 7];0.77514;124.16964398600477;86.47743306084365;122.296148;0;85.92602946084365;0.919006;0.5514036;0.9544899860047735;0.0;0
65;SqueezeExcitation: 5-62;[1, 1152, 7, 7];0.77528;123.944389256002;86.4863687157413;122.29701200000001;0;85.9349651157413;0.919006;0.5514036;0.7283712560019922;0.0;0
66;Conv2d: 6-204;[1, 320, 7, 7];0.77486;123.24335495198481;86.19096728487207;122.43813200000001;0;86.03780048487208;0.255278;0.1531668;0.5499449519847985;0.0;0
67;BatchNorm2d: 6-205;[1, 320, 7, 7];0.77486;123.17573221999207;86.19096728487207;122.43813200000001;0;86.03780048487208;0.255278;0.1531668;0.4823222199920565;0.0;0
68;Conv2d: 3-20;[1, 1280, 7, 7];0.77474;123.88145197202462;86.7635254927631;122.59493200000001;0;86.1509122927631;1.021022;0.6126132;0.2654979720246047;0.0;0
69;BatchNorm2d: 3-21;[1, 1280, 7, 7];0.77474;123.98986866600822;86.7635254927631;122.59493200000001;0;86.1509122927631;1.021022;0.6126132;0.3739146660082042;0.0;0
70;SiLU: 3-22;[1, 1280, 7, 7];0.77474;123.74939525600999;86.7635254927631;122.59493200000001;0;86.1509122927631;1.021022;0.6126132;0.13344125600997359;0.0;0
71;AdaptiveAvgPool2d: 1-2;[1, 1280, 1, 1];0.77474;122.72263776999434;86.1634678927631;122.59493200000001;0;86.1509122927631;0.020926000000000004;0.012555600000000002;0.10677976999431849;0.0;0
72;Linear: 2-11;[1, 1000];0.77474;122.61389455999456;86.1607798927631;122.59493200000001;0;86.1509122927631;0.016446000000000002;0.0098676;0.0025165599945466965;0.0;0
