No.;Layer;Output Size;Accuracy;Latency [ms];Energy [mJ];Sensor Latency;Sensor Latency IQR;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Latency IQR;Edge Energy
14;Conv2d: 6-14;[1, 96, 56, 56];0.7788086;27.2788060799935;5.384325369522273;3.361796;0;2.444000169522272;4.900542000000001;2.9403252;19.0164680799935;0.0;0
15;BatchNorm2d: 6-15;[1, 96, 56, 56];0.76989746;26.41498663986522;5.384325369522273;3.361796;0;2.444000169522272;4.900542000000001;2.9403252;18.15264863986522;0.0;0
16;SiLU: 6-16;[1, 96, 56, 56];0.78027344;25.99102219601582;5.384325369522273;3.361796;0;2.444000169522272;4.900542000000001;2.9403252;17.72868419601582;0.0;0
17;SqueezeExcitation: 5-6;[1, 96, 56, 56];0.76953125;26.793986567816795;5.384404547819633;3.3618040000000002;0;2.4440793478196334;4.900542000000001;2.9403252;18.531640567816794;0.0;0
18;Conv2d: 6-22;[1, 24, 56, 56];0.774292;21.74638463405849;3.251926504833004;3.4182520000000003;0;2.516769304833004;1.2252619999999999;0.7351571999999998;17.10287063405849;0.0;0
19;BatchNorm2d: 6-23;[1, 24, 56, 56];0.77856445;21.349555489960625;3.251926504833004;3.4182520000000003;0;2.516769304833004;1.2252619999999999;0.7351571999999998;16.706041489960626;0.0;0
20;MBConv: 3-6;[1, 24, 56, 56];0.772583;27.79677663214722;6.533892333588063;9.740452;0;5.798735133588063;1.2252619999999999;0.7351571999999998;16.831062632147223;0.0;0
21;Conv2d: 6-37;[1, 144, 56, 56];0;17.204145999999998;10.306479851906005;9.853347999999999;0;5.896001051906005;7.350798;4.4104788;0;0;0
22;BatchNorm2d: 6-38;[1, 144, 56, 56];0;17.204145999999998;10.306479851906005;9.853347999999999;0;5.896001051906005;7.350798;4.4104788;0;0;0
23;SiLU: 6-39;[1, 144, 56, 56];0;17.204145999999998;10.306479851906005;9.853347999999999;0;5.896001051906005;7.350798;4.4104788;0;0;0
24;Conv2d: 6-40;[1, 144, 28, 28];0.7770996;30.71397343391825;8.916127236249078;14.086948;0;7.8134628362490774;1.837774;1.1026644;14.789251433918253;0.0;0
25;BatchNorm2d: 6-41;[1, 144, 28, 28];0.7685547;31.317864516026273;8.916127236249078;14.086948;0;7.8134628362490774;1.837774;1.1026644;15.393142516026273;0.0;0
26;SiLU: 6-42;[1, 144, 28, 28];0.77246094;30.49409381809917;8.916127236249078;14.086948;0;7.8134628362490774;1.837774;1.1026644;14.569371818099171;0.0;0
27;SqueezeExcitation: 5-14;[1, 144, 28, 28];0.7792969;29.509688285902797;8.91629612426988;14.086972;0;7.8136317242698805;1.837774;1.1026644;13.584942285902798;0.0;0
28;Conv2d: 6-48;[1, 40, 28, 28];0.78344727;29.683685822111666;8.156945342972929;14.124604;0;7.850629742972928;0.510526;0.3063156;15.048555822111666;0.0;0
29;BatchNorm2d: 6-49;[1, 40, 28, 28];0.77526855;29.151583315969557;8.156945342972929;14.124604;0;7.850629742972928;0.510526;0.3063156;14.516453315969557;0.0;0
30;MBConv: 3-8;[1, 40, 28, 28];0.7762451;37.69121441185064;13.087575238929782;23.070123999999996;0;12.781259638929782;0.510526;0.3063156;14.110564411850646;0.0;0
31;Conv2d: 6-63;[1, 240, 28, 28];0.7720947;39.4236986219706;14.671953072881077;23.132843999999995;0;12.834274272881078;3.062798;1.8376788;13.228056621970609;0.0;0
32;BatchNorm2d: 6-64;[1, 240, 28, 28];0.77197266;39.08915978593845;14.671953072881077;23.132843999999995;0;12.834274272881078;3.062798;1.8376788;12.893517785938457;0.0;0
